value,code_length,code,count,probability,entropy,decoded_value,section_size
0,0,,0,0.0,0,0,1
1,0,,0,0.0,0,1,1
2,9,101101111,658,0.002787,0.023650238445728517,3,2
4,4,1001,28524,0.120795,0.36834882420996246,6,4
8,3,011,61325,0.259703,0.5051393918194629,10,4
12,3,111,51153,0.216626,0.4780333549351781,13,4
16,4,0001,37939,0.160667,0.4238156453990314,17,4
20,5,00111,16381,0.069371,0.26704609963757353,21,4
24,7,1011101,2669,0.011303,0.07309748012597315,25,4
28,10,0010010011,557,0.002359,0.02058711923314573,29,4
32,10,1010011111,401,0.001698,0.015626312790465054,33,4
36,11,00101111001,240,0.001016,0.01010509592184032,37,4
40,11,10110001011,179,0.000758,0.007857425412744886,41,4
44,11,10101001001,198,0.000839,0.008569417317192832,46,4
48,11,10110100001,172,0.000728,0.007592071779195243,50,4
52,12,001001110111,131,0.000555,0.006000269536821936,53,4
56,12,101011100101,94,0.000398,0.0044961499590706324,57,4
60,12,001011001111,124,0.000525,0.005721248231778836,62,4
64,12,001000100101,147,0.000623,0.006629632470766986,66,4
68,12,001011010101,123,0.000521,0.005681194050749784,70,4
72,12,101001001001,105,0.000445,0.00495130209135388,73,4
76,12,101100000001,91,0.000385,0.004370689026527781,77,4
80,12,101001101111,102,0.000432,0.004827900805514118,82,4
84,12,001011000011,125,0.000529,0.005761253141147428,86,4
88,12,101000001111,114,0.000483,0.005318420854167652,90,4
92,12,101010010111,98,0.000415,0.004662524265330065,93,4
96,12,001011100111,120,0.000508,0.005560731838786635,98,4
100,12,101011100111,93,0.000394,0.00445439558236286,102,4
104,12,101111000011,82,0.000347,0.0039905961837155375,106,4
108,13,0010000001001,79,0.000335,0.0038625881720572453,109,4
112,12,101001110001,101,0.000428,0.004786648016874655,113,4
116,13,1010010100101,52,0.00022,0.0026753266471331583,117,4
120,12,101101000101,87,0.000368,0.0042024641494239155,121,4
124,13,1010001100101,54,0.000229,0.0027657725571574717,126,4
128,12,101111001001,82,0.000347,0.0039905961837155375,129,4
132,13,1011111110001,40,0.000169,0.0021220614095586857,133,4
